ra		dec		name		    bluemag  redmag
271.7111682  69.8244745   3C_371.0                  12.52  14.43
271.9077778  56.5309723   PGC_2539737               12.75  13.67
279.5859964  -60.4229551  6dF_J183820.6-602522      13.11  15.62
280.1402500  62.2139445   PGC_2632696               12.08  14.16
280.1608154  -77.1579583  ESO_45-11                 8.07   9.12
297.5910546  60.7983184   3HSPJ195021.9+604753      13.65  14.82
299.9993857  65.1485143   1ES_1959+650              12.10  15.46
302.3557961  -48.8315895  PKS_2005-489              10.96  11.51
310.4593538  -37.5611063  PGC_621219                13.83  15.78
310.5252044  24.4478722   MG2_J204208+2426          13.86  16.48
314.6947798  -14.7180497  PGC_920875                13.67  15.87
326.3891132  -4.5775518   NPM1G-04.0578             11.80  14.32
326.7518917  -10.3199801  RXS_J21470-1019           11.28  14.59
329.7169383  -30.2255891  PKS_2155-304              12.88  14.17
330.6803808  42.2777718   BL_LAC                    12.59  14.80
330.7221497  -56.5950413  MS_2159.5-5649            11.93  13.29
332.3175445  -47.1666895  NGC_7213                  10.93  0
334.3584034  -9.1183173   NPM1G-09.0688             12.54  14.10
347.6739836  -43.7928431  J2310-437                 11.65  14.71
349.7745669  -42.1134286  PKS_2316-423              8.93   11.09
350.6683581  -42.3451827  DENISP_G_J2322404-422044  11.41  11.95
350.6833943  34.6038538   TXS_2320+343              13.90  17.00
356.7701568  51.7049654   1ES_2344+514              11.38  14.09
